GRUPO;PERFIL;CODIGO;DESCRIPCION_ESTANDAR;CRITERIO_FUNCIONAL;GRADACION_CUMPLIMIENTO;OBLIGATORIO
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.03.03;El sistema DEBE ofrecer la 2 capacidad de capturar y mantener puntos: cuando el actualizados los datos de sistema permite registrar identifi;El sistema DEBE ofrecer la 2 capacidad de capturar y mantener puntos: cuando el actualizados los datos de sistema permite registrar identificacibn del paciente o los datos de usuario de salud de forma manual identificacion del PARA permitir la continuidad de personal de forma las operaciones ante una eventual especifica en datos no disponibilidad de los servicios discretes: de consults a RENIEC. 1) Niimero de DNI 2) Nombres 3) Apellido Paterno;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.03.04;El sistema DEBE ofrecer la 2 capacidad de capturar y mantener puntos: cuando el actualizados los datos de sistema permite registrar identifi;El sistema DEBE ofrecer la 2 capacidad de capturar y mantener puntos: cuando el actualizados los datos de sistema permite registrar identificación del paciente o los datos de usuario de salud de forma manual identificación del PARA permitir la continuidad de personal de forma las operaciones ante una eventual especifica en datos no disponibilidad de los servicios discretos: de consults a la Superintendencia Nacional de Migraciones. 1) Niimero de Carnd de Extranjeria 2) Nombres;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.03.05;El sistema DEBE ofrecer la 2 capacidad de capturar y mantener puntos: cuando el actualizados los datos sistema permite registrar demogrdfico;El sistema DEBE ofrecer la 2 capacidad de capturar y mantener puntos: cuando el actualizados los datos sistema permite registrar demogrdficos y complementarios y mantener actualizados PARA completar los datos de de forma especifica filiacidn. como datos discretos: 1) Número de Historia Clinica 2) Grado de instruccidn 3) Etnia 4) Ocupacidn;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.03.06;El sistema DEBE generar un 2 conjunto de información respecto puntos: cuando el a la identificación del paciente en sistema muestra el cada;El sistema DEBE generar un 2 conjunto de información respecto puntos: cuando el a la identificación del paciente en sistema muestra el cada interaccidn con el registro de numero de HC, nombres la atención del mismo, de acuerdo y apellidos completos del con el alcance de la prdctica, la paciente en cada politica organizacional y/o la ley interaccidn con el jurisdiccional PARA mantener los registro de atención. datos de filiacidn y permitir registros con información;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.03.07;El sistema DEBE determinar y 2 capturar la edad del paciente, a puntos: cuando el partir de la fecha de nacimiento sistema calcula de PARA c;El sistema DEBE determinar y 2 capturar la edad del paciente, a puntos: cuando el partir de la fecha de nacimiento sistema calcula de PARA completar los datos de manera automdtica la filiacidn y permitir construccidn de edad del paciente (arios, información poblacional. meses y dias) en base a la fecha de nacimiento ingresada y la registra;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.03.08;El sistema DEBE ofrecer la 1) Grupo Sanguineo capacidad de capturar y mantener 2) Factor Rh actualizados los datos relacionados a la salud P;El sistema DEBE ofrecer la 1) Grupo Sanguineo capacidad de capturar y mantener 2) Factor Rh actualizados los datos relacionados a la salud PARA completar los datos de filiacidn. 25 N1.ADM.04 Dar soporte a la documentacidn El uso de estdndares de datos y sobre prestaciones y episodios de tecnologias que den soporte a la atención de salud. - En los casos interoperabilidad y la que no est6n cubiertos lineas documentacidn efectiva de una arriba, proporcionar los medios prestacidn puede promover una para gestionar y organizar la atención centrada/orientada en el documentacidn de los servicios de paciente y permite la prestacidn de;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.04.01;El sistema DEBE ofrecer la 2 capacidad de generar datos del puntos: cuando el paciente por atención, incluyendo sistema genera un las admisi;El sistema DEBE ofrecer la 2 capacidad de generar datos del puntos: cuando el paciente por atención, incluyendo sistema genera un las admisiones diferenciadas por reporte de todas las UPS anteriores PARA permitir el atenciones anteriores del monitoreo y control de las mismas. paciente, diferencidndolas por UPS. Cumplimiento parcial 1 punto: cuando el sistema genera un reporte de todas las atenciones;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.04.02;El sistema DEBE ofrecer la 2 capacidad de marcar la Historia puntos: cuando el Clinica si corresponde al archive sistema permite marcar comu;El sistema DEBE ofrecer la 2 capacidad de marcar la Historia puntos: cuando el Clinica si corresponde al archive sistema permite marcar comun o al archive especial PARA la HC segun si cumplir con la normativa vigente y corresponde al archive facilitar el tratamiento de la HC. comim o al archive especial;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.05.01;El sistema DEBE ofrecer la 2 capacidad de capturar el date de puntos: cuando el UPSS donde se realizard la sistema registra el date atención;El sistema DEBE ofrecer la 2 capacidad de capturar el date de puntos: cuando el UPSS donde se realizard la sistema registra el date atención PARA gestionar de la Unidad Productora información de las atenciones que de Servicios de Salud. recibe el usuario/paciente;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.05.02;El sistema DEBE ofrecer la 2. capacidad de capturar fechas y puntos: cuando el horas vSlidas en campos discretes sistema permite registrar P;El sistema DEBE ofrecer la 2. capacidad de capturar fechas y puntos: cuando el horas vSlidas en campos discretes sistema permite registrar PARA el monitoreo, control y fechas y horas vdlidas de auditoria de casos. manera individual en campos discretes, como minimo el agendamiento de citas solo se realiza en fecha y hora posterior a las de la solicitud;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL ESPECÍFICO;Admisión (Anexo 15);N1.ADM.05.03;El sistema DEBE ofrecer la 2 capacidad de gestionar las puntos: cuando el solicitudes de atención del sistema permite paciente y la programa;El sistema DEBE ofrecer la 2 capacidad de gestionar las puntos: cuando el solicitudes de atención del sistema permite paciente y la programacidn de consultar la turnos con los prestadores de disponibilidad, presentar servicios de salud PARA opciones, seleccionar el completar la admisidn. cupo y registrar de forma especifica mediante dates abiertos y/o discretes las solicitudes de citas del paciente con los prestadores de;2: Cumplimiento Total / 0: No Cumplimiento;SI
